,0,3,1,2,5,4,6,7,8,9
52,Il12rb2,Rpl5,Clic1,Icos,Chd2,Rps26,Fcrl1,Hagh,Fau,Cd68
53,Gzmb,Rps5,Hist1h1b,Slamf6,Ssh2,Rpl26,Rnase6,Psme3,Rpl7,Ctsc
54,Gimap4,Rpl37,Nusap1,Rabgap1l,Slc9a9,Rpl10,Gm43305,Mpc2,Rpl13a,C3
55,Il2rb,Rpl3,Tpi1,P2rx7,Arih1,Rpl12,Siglecg,Isg15,Rpl37,Lrrc25
56,Cxcr3,Rpl32,Ezh2,Prdx2,Peli1,Rpsa,Ctsz,Oip5os1,Rpl32,Hk3
57,Txn1,Ly6c1,Gmnn,Trac,Ets1,Rpl36,Cd72,Map1lc3b,Rpl38,Fcgr4
58,Sub1,Rpl18,Plk1,Rps11,Esyt2,Rpl38,Pou2af1,Pabpc1,Rpl10,Ncf2
59,Icos,Rpl22,Hsp90b1,Pfn1,Hivep2,Rpl6,Fcer2a,Slc4a1,Eef1b2,Gda
60,Fxyd5,Rpl15,Actg1,H2-Q7,Jak1,Tpt1,Capg,Ppp1cb,Rpl15,H2-DMb1
61,Il18r1,Rpl38,Anp32b,Cd37,4932438A13Rik,Rack1,Pold4,Glrx5,Rplp0,Pid1
62,Arpc1b,Ccr7,Cenpw,Ubl5,Dock8,Rpl28,Serp1,Cmas,Rpl6,Pnp
63,Arhgdib,Rpl10,AW112010,Atp5g2,Thada,Rps12,Cd24a,Fth1,Rps26,Atox1
64,Pgk1,Junb,Tmpo,Ddx24,Ankrd17,Fau,Blvrb,Dhrs11,Rps6,Fgr
65,Plaat3,Rplp0,Actb,Ftl1,Fam172a,Rpl5,Ms4a4c,Usp15,Rpl5,Tnfaip2
66,Hif1a,Rpl13a,Ccnb1,Sla,Cblb,Rpl7,Aldh2,Trim10,Rpl28,Gm36161
67,Ifi27l2a,Rpl14,H2afx,Clec2d,Foxn3,Dapl1,Wdfy4,Iscu,Rpsa,Psap
68,Bcl2a1b,Eef1b2,Kif22,Oaz1,Mycbp2,Rps2,Cr2,Lars2,Rack1,Slamf8
69,Tpi1,Tcf7,Anp32e,Rps12,Bcl11b,Klrd1,March1,Cmss1,Ccr7,Fgl2
70,Gbp2,Rpl27,Clspn,Smco4,Srrm2,Rps6,Fth1,Smox,Rpl27,Anxa2
71,Capzb,Rps6,Dek,Tnfrsf18,Foxo1,Rpl22,Zfp36,Rnf10,Rpl14,Naaa
72,Arpc4,Rack1,Selenoh,Rpl27,Tox,Rpl14,Cd81,St3gal5,Junb,Ly86
