,0,3,1,2,5,4,6,7,8,9
2612,Plekhf1,Gng4,Anapc1,Gm13496,Cep162,Gm45607,Necap1,Nap1l3,Ifnk,Tmem160
2613,Aggf1,Calml4,Surf1,Igkv5-39,Yes1,L3mbtl1,Cyb561,Pdgfrl,Unc5d,Etfa
2614,Sec24c,4930554G24Rik,Pigyl,Hspb9,Atg7,Amhr2,Tnfrsf21,Gm47392,A730043L09Rik,Kctd20
2615,Luc7l3,Gm10516,Prrc2b,Tmem165,E230016M11Rik,Gm16556,Gm26852,Gm20692,Tmc2,Myo9a
2616,Otud5,Sarm1,Mmd,2810403D21Rik,Gm16638,Gm17546,Gprasp2,Slc6a9,Epha2,Dusp7
2617,Dbndd2,Galnt16,Gstt1,1700055D18Rik,1700123M08Rik,Ighv8-12,Dnajb5,Gabbr2,Gm20540,Rps6ka1
2618,Gadd45gip1,Gm47207,Actr1b,Rdh12,Paqr8,Gm12522,4632427E13Rik,Nek5,Gm19437,Ascc3
2619,Cnot6l,Metap1d,Gmppa,Sypl,Ptgfrn,Rnf207,Slc24a5,Eps8l2,Meox1,Gmeb2
2620,Pin1,Gm42596,Stim2,Bag3,Shq1,Gm11634,Phf2os1,Map3k6,Gabrb3,Gmeb1
2621,Ing4,Gm16310,Psme2b,Cep131,Rnf19b,Agr3,Psmb1,Gm20406,Myod1,Dnttip1
2622,Naxd,Traj17,Cdc16,Gm42670,Ephx3,Gm37622,Usp46,Zmat4,Gm48913,Rfc2
2623,Acbd6,Gm49864,P4ha1,4930515G01Rik,2700049A03Rik,Hoxa6,Jrk,Gm44037,Gm20407,Oasl1
2624,Synj2bp,Ppp1r1b,Entr1,Rasd1,Poc5,Dlec1,Fastkd1,Myrip,Spon2,Mrpl34
2625,Ppp4r3b,D030051J21Rik,Nelfa,Ddx43,Pgpep1l,Ism1,Gm36161,1700027A07Rik,4930471E19Rik,Hdc
2626,Glb1,Megf8,Crnkl1,Col1a1,Plk2,Nodal,Map3k19,Radx,BC016579,Cic
2627,Map11,Marco,Rps6ka1,4933440M02Rik,Ggta1,4930465M20Rik,Gm2087,Armh1,Gm48591,Hspa5
2628,Ttc9c,Grip1,Cct2,Src,4930590J08Rik,Gm45148,Gm36602,Azin2,Slc27a2,Nlrp1b
2629,Tspyl1,Foxc2,Scyl1,A430110L20Rik,Rfx1,Rnase12,1700112D23Rik,Mapk8ip2,Hspb2,Mocs2
2630,Ikzf2,Trim6,Bbip1,Fbxl18,Haus3,9430002A10Rik,Abcb4,Gm15567,4930451E10Rik,Mink1
2631,Mrps15,Gm45096,Gpr107,Adam12,Cd59b,Il17c,Gm10373,Sema3c,Fzd9,Hmg20b
2632,Mrpl28,Plin4,Eif1a,2900076A07Rik,Plxdc2,Jcad,Gm12279,Mmrn2,Clps,Ten1
2633,Wrn,Atp6v1fnb,Crmp1,Gm49763,Rfx2,Gm16135,Papss2,Ighv5-6,Vash2,Copg2
2634,Pdcd1lg2,Gm20644,Ogfr,Gys1,Adal,1700110C19Rik,Zfp580,Ighv5-4,Tprg,Nmb
2635,Plcl2,Gm13262,Ppp6r1,Akr1c13,Nek3,Epb42,4930414N06Rik,Ighv2-2,Trhde,Eif1ad
2636,Il15ra,D6Ertd527e,Atp6v0b,Txlng,Slc20a1,Edn3,Gm31641,Ighj4,4930579F01Rik,Nmt1
2637,Tmem165,Gm47480,Abhd12,Nmb,Zfp14,Lrrc4c,Nudt6,Ighg2c,Gm43091,Nfkbiz
2638,Fam114a2,Gm44199,Rad54b,Adgrv1,Traj29,Gm26789,Gm27184,Gm15996,Gm12798,Alkbh3
2639,Ttc5,Gm49150,Farsa,Skiv2l,Mrvi1,Efnb2,Slc20a2,D430019H16Rik,Gm16559,Anapc15
2640,Gusb,Bmp8b,Rnf14,Prickle1,Gm11342,Gm10516,Guca1a,Gm29536,Col11a1,Ube2g2
2641,Scfd1,Zfp990,Leprotl1,Tusc2,Avil,Gm15234,Cd300e,Gm30198,Atp2c2,Pex2
2642,Crebrf,9530053A07Rik,Nap1l4,Tex261,Snrk,Gm6639,Pex6,Slc1a1,E130102H24Rik,Tmem183a
2643,Mplkip,Ppp1r42,Pygb,Vps51,Zfp442,Zfp985,Fndc3b,Gm47819,Sft2d3,Zbtb7b
2644,Tmem115,Gm41724,Itga4,Mark4,Tnnt3,4931431C16Rik,1700007J10Rik,4732463B04Rik,Trav13d-4,Med9
2645,Zdhhc7,F630040K05Rik,Cenpb,Ap1m2,Gm42664,Tcrg-V6,Gm12915,4930423D22Rik,Metap1d,Nedd8
2646,Reps1,Nuak1,Xrcc6,Gm11707,Mkrn2,Gm38304,Ppl,A1cf,Retsat,Prrc1
2647,Lcmt1,Tmem274,Crot,Gm16576,Gm12905,Gm16150,Itga9,Gm14401,Gm50013,Tmem229b
2648,Pym1,Gm45338,Dgcr8,Fam43a,Map3k9,Plek2,Rab26os,Gm10406,Dmd,Stx18
2649,Mtif3,Gm47599,Atg101,Nanos3,G2e3,Gm31508,Gsto2,Gm48747,Gm10382,Cib1
2650,Slc26a11,Gm14412,Ngly1,Ptp4a1,Gpr132,Gm14232,Gm17571,Dgkb,Gpr162,Clcc1
2651,Prf1,Cnn1,Rras2,Nfia,Rnf139,Gm26566,Gm40271,Fgf7,Gm17058,Mki67
2652,Zup1,Gm15155,Nop58,Fastkd5,Ctsk,Zfp992,Gucy1a1,Siglecf,Tepp,Bbip1
2653,Gm36723,Grin2c,Tdp2,Fam81a,Zfp605,Xcl1,Bambi,9130015A21Rik,Nrip2,Dnajc14
2654,Alas1,Zfp804b,Pithd1,Atcayos,Parp6,Gm15879,Sdr42e1,Gm48905,Rab39,Memo1
2655,Fopnl,1700025N23Rik,Commd8,Adh4,Myb,Gm42917,Gm4258,Gm36236,AY074887,Ythdf2
2656,Arl3,Klrg2,Pym1,Pdzrn3,Birc3,Olfr814,Lmtk2,Tmem254a,Traj42,Eif4e2
2657,Commd10,Meg3,Celf2,Ankrd6,Copg2,4833413E03Rik,Gprasp1,Lrrc34,Nucb2,Mettl9
2658,Zcchc17,Nr1i2,Dync1i2,Xpnpep2,Trmt11,Gm20635,Fbl,E030044B06Rik,Eno2,Cops5
2659,Rrp7a,Lyz1,Mrpl2,Parp11,Nipal3,Fam220a,Trpm2,Lrrc18,Nox1,Rnpepl1
2660,Dpm3,Jakmip2,Arhgef2,Tldc2,Pfkfb1,Gm49871,Rfx7,Stra8,Rbm15b,Tmem106b
2661,Zfpl1,Gm13388,Chsy1,BC037704,Prdm11,Gm11629,Gm35986,Pde8b,Sf3b6,G2e3
2662,Rgs19,Lexm,Gm10076,Gnat1,Slc24a3,Nynrin,Dscam,Ighv6-3,Bbs7,Dpm2
2663,Wdr61,Gm49695,Mff,Gm10260,1700029J07Rik,Jag2,Hes5,Gm14198,Cdnf,Ccne1
2664,Itch,1700111E14Rik,Cebpzos,Gm553,Atn1,Lrp4,Gm28892,4930524O05Rik,Mfsd13b,Tmem123
2665,Drg1,Gm43585,Sgms1,Phf1,Gm17435,Gm50251,Hhla1,Gm14532,Zfp931,Thap7
2666,Kdm5c,Gm33838,Taf5,E130215H24Rik,Pdcd11,Asb11,Zfp3,Mylk2,Gm50287,Psmd2
2667,Cenpa,Gm49494,Hp1bp3,9130019O22Rik,Gm37469,Zfp184,Myo18a,Gm47061,4933406P04Rik,Eipr1
2668,Ss18,4732414G09Rik,Tfeb,Rasal1,Rab40c,E330032C10Rik,Nupr1,Gm48295,Nr6a1os,Anapc2
2669,Ppp1r15b,Rgs7,Nsfl1c,Fra10ac1,E130308A19Rik,Pou5f1,Jpx,Gm48357,Yars2,Syce2
2670,Sdhaf4,Gm43913,Wtap,Rec114,Gm43920,Gnmt,Taf6l,Adgrl3,9030025P20Rik,Abhd11
2671,Paics,Slc22a3,Pycr2,Ints4,Gm44751,Ccdc87,Zfhx3,Tmem132a,Cacna1a,Alg13
2672,Nub1,G6pd2,Dnajc10,A630001O12Rik,Arhgap18,Sgpp2,Gm28402,Gm49144,Stamos,Gm5547
2673,Ap3s2,Gm15498,Abhd16a,Gm14966,Zswim3,Gng7,Gm49417,Slc22a23,4921517D22Rik,Mvd
2674,Mpv17l2,Gm15819,Cnot10,Zfp612,Sestd1,Tsks,Mars2,4930526L06Rik,Rasl10a,Lamtor2
2675,Baiap2,1700029J03Rik,Pom121,Gm17017,Wdr11,Gfpt2,Rmrp,Gm13833,Nwd1,Uhrf1
2676,Ndufa12,Scg3,Eipr1,Gm28731,Zbed4,Gm3696,Cd302,Gm48824,Tro,Ints6
2677,Srgap2,Gm29237,Rnf121,Ybx1,Gm39526,Slc23a1,Castor2,Ankrd34b,Trpc6,Psmd9
2678,Dnajc5,Platr1,Tbkbp1,Zfp677,Eid3,Gm49894,Adgre4,Gm48899,Cfap57,Tspan3
2679,Cog4,Gm48265,Nvl,Gm1604a,Gpr21,Carmil3,Exoc3l4,Btbd3,Scamp5,Stimate
2680,Psmg3,1700003F12Rik,Ppme1,Serinc5,Pbx3,Gnao1,C130050O18Rik,Gm46404,Gm13938,Nup62
2681,Mapre1,Panx3,Cct6a,Mfsd4a,Cdip1,Gm11755,Col6a6,Tm4sf20,Gm42457,Sbno1
2682,Kif2a,Traj31,Dnpep,Trbv26,Acyp2,Lipc,Hsf5,Capn12,A330076C08Rik,Rheb
2683,Nudt9,Rbfox1,Vrk1,Gm14636,Tdp2,Gm45356,Slc4a11,Gm47243,Hsd17b1,Ppp1ca
2684,Parp4,Col14a1,Dele1,Pqlc2,AU019990,Myh7b,St3gal5,Gm44793,1700011L22Rik,Stam2
2685,Rab9,Tmem95,Lars,Ints1,Alg2,Gm15856,Arhgap22,Nid1,Gm50217,Zdhhc2
2686,Ifi204,Gsg1,9530068E07Rik,Tmem251,Cnr2,Gm32950,Slc22a21,3110006O06Rik,Gm37245,Pola2
2687,Nipa2,Plvap,Phf10,Gm15523,Slc35b3,Gm41325,Gpr157,A230107N01Rik,Elfn1,Sys1
2688,Uhrf2,2610203C22Rik,Aup1,Sema4b,Btbd8,Lct,Fgfrl1,Cblc,Panx3,Wdr11
2689,Atg12,Npr2,Arhgap1,Gm12703,Gtf2ird1,Phex,Draxin,Ighv1-66,Tmem232,Sorbs1
2690,Mfsd6,Vwc2,Hadhb,Abhd17b,Plekha6,Cped1,Rsf1,Gm37592,Gm45338,Irf2
2691,Mark2,Gm50217,Lair1,Zfp59,Zkscan5,Sema3f,Gm15537,Ltbp3,Sgcz,Commd10
2692,Ywhaq,Igsf5,Aplp2,Gm20457,Fggy,Tceal1,Ranbp17,Fhl5,Gm45145,Nans
2693,Araf,Slco1a6,Agap2,6030442K20Rik,Prlr,5730414N17Rik,Lclat1,Gm8113,Gm19589,Commd6
2694,Rabepk,4933417A18Rik,Nr1h2,Usp48,Gm43848,Trim10,Cpsf7,Gm42531,Ankrd22,Kctd17
2695,Trim14,Syt13,Epb41l2,Arhgap5,Gm3055,Sugct,Tgfbr3l,Gm15629,Gm17035,Smn1
2696,Golph3,Gm45474,Ftsj1,Zfp955b,Zfp141,Trav13n-3,Esr2,Ucp3,Gm15918,Bcas3
2697,Ino80b,Tex11,Nabp1,Ssh3,A630014C17Rik,Peak1os,AA465934,Chil6,Gm13262,E2f3
2698,Enpp1,Aanat,Adipor1,Rnf32,Foxp3,Gm4631,Scn8a,Gm14862,Add2,Atp2c1
2699,Trp53i13,1700112J05Rik,Atp6v1e1,Ralgps1,Gm17382,Snhg10,Svip,1700087I21Rik,Paqr6,Chst12
2700,Napa,Lrrc8e,Gskip,Ggh,Slc4a4,Gm15477,Gm16153,4930512M02Rik,Shisa4,Ssna1
2701,Pex2,Gm26940,Lime1,Gpatch1,Egf,Thbs3,Pcdh9,Gm19409,1700111N16Rik,Rnf4
2702,Inpp5b,Fgf14,Mapk9,Nit1,Zfp157,6430562O15Rik,Trip6,Gm15632,Gm20753,Uap1
2703,Glmn,Ptprr,Dnlz,Chmp5,Raver2,2900089D17Rik,Ralyl,Inpp5j,Syt13,Rnft1
2704,Micu1,Dnah7c,Eif2b2,Kcnj13,E130208F15Rik,Gm47207,4931431C16Rik,Slc44a3,Vwc2,Sec13
2705,Csnk1g3,Gm20753,Rbm28,Ripor3,Kcnh2,Zfp174,Grasp,4930447N08Rik,1700003I16Rik,Asna1
2706,Cd99l2,Gm16213,Capn1,Kifc3,Sorbs3,E030037K01Rik,Lysmd4,Sema5a,Tex11,Prc1
2707,Kcnk7,Serping1,Cdc42se1,Tnfrsf8,Gm6566,Rem2,Tmem220,Gm20110,Gm43357,Tnks
2708,Rbms2,4930597O21Rik,Copa,Zfp992,Traj9,Aebp1,Hcn3,Gm16239,Gm42788,Fmc1
2709,Faah,Gm17102,Sars2,Gm16538,Tarsl2,Wdr86,Ccdc93,Gm48505,Gm50350,Jpt2
2710,Mcl1,Shisa4,Oxct1,Zfp3,Gm7967,Kpna7,3110083C13Rik,4930459C07Rik,Bmp8b,Zmpste24
2711,Hdac3,Kazn,Gm16286,Gm10101,Fancl,Gm45187,Thap1,Zfp781,Muc3,Eef1akmt4
2712,Hectd3,Wnk2,Rps19bp1,Tars2,Rph3al,Tmem198,Tgm2,Gm43560,Il1rapl2,Fut8
2713,Mpc2,Gm6288,Slc39a6,Gm45716,Gm26930,Slc30a3,Plekha6,Amh,Gm45075,Gtf2h5
2714,Zfp511,Fzd4,Farp1,Gpx7,Rbak,Gm11706,Mef2b,Vwa3a,Gm20644,Tpgs1
2715,Thyn1,Gm12503,Nudt16l1,Atp6v0a1,Gucy1b1,Gm49961,Insr,Fgf22,Gm48116,Tmem135
2716,Vopp1,Kcnc3,Fam204a,Otub1,Gm50069,Dhrs13os,Fktn,2210414B05Rik,Asb5,Usp47
2717,H2afz,Shank2,Hint3,Ift122,Tbc1d2b,Lhfpl5,4933433G19Rik,Gm34376,Med11,Snx24
2718,Agfg1,Tspan7,Rrp7a,1110051M20Rik,Tmem63a,Ttll13,Trav2,Samd12,Rims3,Brpf1
2719,Med27,Gm32081,Rnf168,Gm3636,Lrrc32,Syne4,Jund,1700123J17Rik,Morn3,Pqlc1
2720,I730030J21Rik,Arhgef19,Mdm1,1010001B22Rik,Igsf3,9530080O11Rik,Asah2,Gm41335,Nat14,Rnaset2b
2721,Tvp23b,Fabp3,Commd2,Gm16150,Gm11455,Mtag2,P2ry12,Gm39822,2010009K17Rik,Prorsd1
2722,Eif3g,Tnfsf18,Ahcy,Gm46210,Galnt4,Gm36159,Kcnmb3,Meikin,Gm12735,Mrpl36
2723,Nelfcd,Mia,Tbl1xr1,Pram1,Polq,Gm15445,Pth1r,Gm36447,Gm15788,Chmp2b
2724,Scd2,Sox1ot,Rwdd4a,Exoc3,4933406P04Rik,U90926,Rpl10-ps3,Traj5,Gm31462,Cdk9
2725,Sf3b4,Gm48984,Nsdhl,Tspan6,Irak2,Htr1f,Gm50323,Slit1,4930455C13Rik,Tmem248
2726,Dynlt3,Gm45591,Hax1,AW011738,Szt2,1700040L08Rik,Mbd6,Ccdc80,Cybrd1,Xpo1
2727,Cd164,1700111N16Rik,Vcpkmt,Ikbke,Srp54c,Adam12,Gm16541,Gm45311,1500002F19Rik,Vps13d
2728,Cnih4,1700099I09Rik,Por,Plbd2,Adcy9,Marc1,Gm44036,Gm49256,Cdc42ep4,Fam98c
2729,Pml,Muc3,Ocel1,Dnmbp,Gm1604b,Col27a1,Tusc1,Evc,Adhfe1,Dlgap4
2730,Rassf2,Gm50350,Tpm1,Cd2bp2,2700038G22Rik,Smad7,Gm44226,Gm11541,Susd4,Ralbp1
2731,Lpin1,Myl9,Mrs2,Dnajc12,Zfp251,Gm50196,Tango6,Gm45052,Ufsp1,Slmap
2732,Exoc3,Gm37062,Ccdc12,Il18,Thumpd2,Pmepa1,Cmtm8,Trdv2-1,Gm16712,Golga3
2733,Hilpda,Camp,Cfdp1,Trav6-2,Pip5k1b,Drc3,Echdc3,Gm33926,Snrpc,Copa
2734,Dck,Hrh1,Utp6,Gm28557,Gon4l,Amigo3,4631405J19Rik,Gm36696,Zdhhc4,Rbm26
2735,Lztr1,Gm20463,Ubap2l,Mtmr7,Cfap43,Lrrc8dos,Gm17545,9130204K15Rik,Gm13684,Pclaf
2736,Rnf31,Gulp1,Cep76,Miip,E130102H24Rik,Gm43332,Tnc,Creb3l4,Gm44067,Ccl7
2737,Glo1,Podxl,Gusb,Cyp2u1,Itgae,Gm46336,Eid3,Gm9885,Pex1,Pxmp4
2738,Adar,Galnt13,Mtx2,Rab36,Slc33a1,Gm17191,Gm45822,Slc36a1os,Tulp2,Letm1
2739,Bloc1s6,Gm17266,Ecd,Lypd1,Hsf2,Gcsam,Uri1,S100a5,Gm47739,Psmd13
2740,Ubald2,Gm20681,Ikzf3,1700094D03Rik,Zfp608,Gm48684,Pla2g15,1700040D17Rik,Lamc3,Gdap2
2741,Bex3,Nwd1,Rab18,Zfp526,Bach2os,Gm11211,Hps5,Gm12333,Gm12409,Mroh1
2742,Dr1,Cyp27b1,Ndufb5,Mapkbp1,Gm49896,Chd5,Prox2,Homer2,Gm3892,Mfsd6
2743,Csnk1g1,Trav3n-3,Skiv2l,Lad1,Itih5,Gm29050,Ripk2,Oscar,Gm41293,Tmem154
2744,Klc3,Gm17202,Selenot,Jmjd4,Nepro,Gm32184,Etfrf1,Odf4,Gm15344,Dennd4c
2745,Adipor2,Gm12059,Umad1,Ilvbl,Gm4566,Neurl1a,Frmd4a,Gucy2g,Cideb,Slc35b2
2746,Acsl4,A330076C08Rik,Xist,Ptpn11,Gm8066,Hsd11b2,Gm49454,D430041D05Rik,1700001P01Rik,Klc1
2747,Api5,Add2,Csnk1g2,Tbc1d8b,Egr3,Gm20443,Col10a1,Gm44995,Lifr,Fbh1
2748,Snrnp25,Noxa1,Luc7l,Slc25a20,Aph1c,Gm29481,Gm41442,Ccdc83,Gm50336,Ugt1a7c
2749,Tmem147,Ighv8-8,Etfdh,Pak6,Nrg2,Brsk1,Zfyve9,5430435K18Rik,Tpte,Pdpk1
2750,Ptpmt1,Gramd2,Morc3,Zfr2,Hdac9,Phxr2,Lalba,Gm26981,Mageh1,Uckl1
2751,Ifit1,Gm45309,Dgkh,Krtcap3,Armcx5,Enho,Ago4,4930548H24Rik,Shroom3,Dynll2
2752,Ftl1,4930592C13Rik,Cherp,Kctd11,Gm37529,Gm11716,Ighv1-47,Cfap61,Gm36787,Zwint
2753,Exoc6,Gm13938,Mcmbp,Vill,Arl8b,Spatc1,Gm20632,Igkv4-80,Gm12811,Atxn7l3b
2754,Tmem219,Htr4,Eif5b,Flacc1,Ubtd1,Pdia2,Rhobtb1,Sh3rf2,Prok1,Casp8ap2
2755,2310061I04Rik,Gm49886,Coa6,Peli2,Asb7,Cntn5,Myo5c,Igkv8-30,Gnat2,Ide
2756,Ugdh,Gm44647,Ctc1,Efcc1,Gm20705,Vgf,Serpina9,Gm49901,Traj55,Gtdc1
2757,Ube2k,Ephb1,Pepd,Slc7a10,Zc3hav1l,Cyp2t4,Tead2,Robo1,Iqcm,1810058I24Rik
2758,Ap2b1,Klk1b16,Bri3,Gm15738,Trbv17,Shank1,Wdr45,Plekhh2,Ighv1-69,Ranbp9
2759,Elf4,Muc4,Bloc1s2,Gm35549,Npas2,Efcab6,Jmjd1c,Cbr3,Frmd3,Ccdc124
2760,Dpy30,Plin1,Agpat5,Tuba3a,Csrnp2,Gm11399,Napb,Ptk7,Zfp791,Ubr5
2761,Gcc2,Tmem63c,Sema4d,Cmya5,Traj13,Serpinb6c,Zfp975,Gm9530,Gm44214,Pcgf5
2762,Dynll2,Ccdc154,Ddx47,Trav4d-2,Gm43463,Gm36278,Ltk,Chil1,Fbn2,Pdap1
2763,Trim5,Crtac1,Ei24,Gm11802,Gm41077,Fam135b,Tmem144,Gm17087,Gm45738,Fastk
2764,Gm15987,BC053393,Klc1,Cfap77,Sfswap,Adipoq,Amacr,Gm17276,Lama4,Txndc12
2765,Ino80c,Synpo2l,E2f1,Gm27003,Zbtb34,Unc5b,Zfp607a,4930512J16Rik,Pcdhga7,Tbcc
2766,Gm20069,Serpine1,Naa60,Gm11084,Pcsk1,Gm17207,Frg2f1,Pde10a,Asic5,Dohh
2767,Limk2,Aldh1a1,Nemf,Junos,Gm4924,Kndc1,Gm15860,Gm15342,Tecta,Mettl6
2768,Trim30d,Gm15533,Adipor2,BC031181,Riiad1,Gm48127,Atf3,Adgrf2,Gm13070,Sertad1
2769,Amz2,Rpl3l,Tubgcp4,Senp3,Gm16310,4930596I21Rik,Ap1m2,Igkv14-100,Cfap100,9930021J03Rik
2770,B4galt7,Hsd17b1,Mrpl3,Gm15472,Fgfr2,Gm20616,Gm13977,Gm38102,Gm49999,Shc1
2771,Csnk1a1,Cyp17a1,Pqbp1,Gm37885,Gcfc2,Gm16206,Hdc,Igkv15-103,Gm14393,Abhd18
2772,Vps4a,Igkv6-32,C330007P06Rik,Wdpcp,Clcn6,Rhpn2,Gm21885,Adamts9,Aldh5a1,Rbm43
2773,Gm16286,B3gnt6,Tmem43,Gm11655,A3galt2,Gm12898,Gm28905,Igkv5-48,Med4,Mgat4a
2774,Emc8,Fat3,Tbpl1,Lalba,Cacna1b,Fzd7,Sfn,Mroh3,9230112E08Rik,Chuk
2775,Nfkbia,Gm37336,Caprin1,Serpina12,Kras,Npas1,Cdc42bpb,Epb41l4a,Fcnaos,Impa1
2776,Use1,Gm15938,Camk2g,Gm12305,Gm43581,Gm13832,8030451A03Rik,Cfap73,Gm47802,Napg
2777,Plpbp,Napb,Msmo1,9230102O04Rik,Teddm2,Gm42425,Gm20508,Nudt12,1810059H22Rik,Map1s
2778,Cops8,A630095N17Rik,Lims1,Gm49454,Tubgcp4,Hist2h3c2,Wdcp,Gm36315,Gm44699,Drg2
2779,Socs1,Zfp882,Ppp1cb,B3gnt7,Taf15,Vil1,Plce1,Erg,Hykk,Map4k1
2780,Hipk2,8430426J06Rik,Orc3,Mrfap1,Zfp202,Ighg3,Ptcd2,Pxt1,Gm12227,Dlg1
2781,Tfpt,Gm16150,Cyb5r3,Gm47512,Gm19967,4930422M22Rik,Brat1,Tagln3,Gm49484,Baz1b
2782,Adss,Gm5464,Fanci,A930012O16Rik,Adrb2,Hipk4,Mrgpre,Gm50146,Gm20045,Myo1e
2783,Stam2,Tmem204,Vrk3,Rbms2,6430590A07Rik,1700020N18Rik,1700029H14Rik,Tead3,E130317F20Rik,Exosc4
2784,Dcp1b,Esr2,Bin3,Carm1,Zfp445,Gm15556,Fam228b,Grm7,Dcst2,Papss2
2785,Nt5m,5430400D12Rik,Jmjd6,Furin,Gm19522,CAAA01066123.1,Fcgr4,Igkv4-68,Gm9857,Fermt3
2786,Mgat1,Dbn1,Mrps33,Psma1,Gm29675,Scd4,Lamtor2,4930511M06Rik,B230322F03Rik,Sec11c
2787,Bud23,Fam174b,Phb2,Nkrf,Unk,Gm38326,Itgb5,Pnpla1,Trav13n-1,Mtfr1l
2788,Ulk1,Trav7-4,Rps17,Gm16156,Mtx3,Gm12766,Nsmce4a,4933430L12Rik,1700102H20Rik,Mapk1ip1l
2789,Mtx1,Pkd2l2,Adss,Mfsd3,Acsl3,Nmur1,Gm35507,Gm6710,Cops8,Bfar
2790,Slc39a1,Mm2pr,Jazf1,Prmt6,Elovl7,Nxpe5,Car7,Gm49173,Pik3r3,Hivep2
2791,Kdm2a,Traj37,Rmnd5b,Armcx4,Mccc1os,Gm45605,Mroh5,Adig,Selp,Serpinb9
2792,Rce1,Traj56,Mrpl19,Styxl1,Nrip3,Zfp708,Khdc3,Plxna4os1,Zcwpw2,Pon2
2793,Herc6,Gm10392,Psmd5,A230020J21Rik,Gm20300,5330426L24Rik,Gm29811,Gm50242,Cd1d1,Pdcd6
2794,Uxt,Gm6787,Cd5,Gm17606,4930481B07Rik,Lrrc63,Rpusd2,Vwa1,Gm28513,Prep
2795,Elk3,Tdo2,C2cd5,Slc25a47,Gm48765,Loxl4,B3gnt2,Crlf1,Pkd1l3,Nxt1
2796,Rab28,Gm10550,Vti1b,Rap1gap,Rnf32,Gm34471,1810059C17Rik,Gm39321,Smim22,Cyth2
2797,Jkamp,Gm20490,Raf1,Inafm1,Gapdhs,Calml4,Gm26549,Creg2,Gm15239,Ppp4r2
2798,Ifnar1,Trbj1-7,Atl2,2310043M15Rik,Lmbr1,Meis1,Cep128,Syt3,Gm44866,Bud23
2799,Zdhhc20,Gm29994,Nudt9,Klk1b26,Uhmk1,Pbld1,Galnt4,Gm12589,Gm26854,E2f2
2800,Cmtm4,A930028N01Rik,Pitpna,Tcrg-V7,Nln,Gm10322,Fbxl12,Tmem30b,Skint6,Tmem147
2801,Uggt1,Zfp612,Dhps,Gm43057,Tubgcp6,Gm15541,Gm3739,Gm34921,4933411E06Rik,Nr3c1
2802,Fam110a,Gm49974,Tmem209,Mdga1,Usp33,Igkv17-121,Apbb3,Gm12316,C1qtnf1,Nelfb
2803,Neurl3,Ighv1-55,Serpina3f,Plce1,Wipf2,AC125149.3,Atxn3,Gm15350,Gm36037,Ago3
2804,Prkaca,5031434O11Rik,Serpinb6a,Gm27007,B430219N15Rik,Gm15287,Gm16712,Gm47578,Gm12522,Gmip
2805,Tmem222,Gm13274,Ap3b1,Amigo1,Acss2os,Gm31615,Angel2,Acvr2b,Gm26554,Fbxo11
2806,Samm50,Pebp4,Cdk5rap2,Smim10l2a,Myo15,Mpig6b,Gm42596,Gm20712,Gm42463,Pten
2807,4921524J17Rik,Gm44287,Sbno1,Zfp874b,Abcd3,Gng4,6430562O15Rik,Gm33424,Gm49512,Scfd1
2808,Dnajc24,Vmn2r38,Sin3a,Zwint,Igfals,Slc17a8,1700093J21Rik,Gm12953,Pou3f1,Ppip5k2
2809,Apopt1,Hus1b,Mcrs1,4930412M03Rik,Prepl,Gm15334,Gm15477,Kcnc2,Csmd3,Lmf1
2810,Atxn2l,Vmn1r4,Map2k1,Cacfd1,9530052E02Rik,Cd200r2,Dnajc16,Ccer2,Kcnq1,Zfp787
2811,Vps41,Tmem132b,Tmem70,2510002D24Rik,Armh2,1700022A22Rik,Prodh,Glra1,Ism1,Gstt2
2812,Fam98b,Pipox,Ramac,AI854703,Nrp1,Gm48933,Zfp933,Trpv6,Gm13703,Fdx1
2813,Klrb1f,Zfp229,Cpox,Fitm2,Myo19,Trav15d-1-dv6d-1,Gm28403,Gm12979,Gm26805,Marf1
2814,Tmem199,Ptprm,Cnot1,Gm37170,Traj6,Tdrd5,Gm36608,Gm37800,Gm37622,Diaph3
2815,Srrt,Gm12238,Agps,Nlrp1a,Tmtc4,Gm28404,Klf8,4933427E11Rik,Foxj1,Spred2
2816,Arih2,Gm16252,Slc38a1,Rsu1,Gm43061,Cyp2d26,Slc29a3,Wnt11,Atp2b2,Aimp2
2817,Tmed4,B430219N15Rik,Nudt2,Wbp4,Acad10,Gm48362,Slc35e3,Gm42797,Kif28,Etfdh
2818,Nudt5,Gm48226,Dapk3,9430097D07Rik,Trav1,Gpr4,Samsn1,Gm49460,Zan,Glul
2819,1110004F10Rik,Chka,Rnf8,Tomm6os,Gm26766,Fabp4,Ivd,Pcdh7,1700029I15Rik,Tdrd7
2820,Sos2,Pcbp3,Relb,Dmrta1,Thsd1,Gm48653,Gpr153,Mir670hg,Gm49768,Rnf41
2821,Fnta,Ccdc142os,Donson,D030024E09Rik,Zmiz1os1,Traj44,Riok2,Gm16192,Dnah1,Tnfrsf18
2822,Pacs1,Gm5149,Mrpl11,Wnk3,Rftn2,Shisa7,Zcchc14,Gm44949,Large2,Serhl
2823,Fcf1,Gm38171,Pigs,CAAA01118383.1,Tfb2m,1700028K03Rik,Lipt2,Igkv5-45,Gm15513,Mbd1
2824,Rps6ka4,AC133103.3,Purb,Tex10,Gm15787,Wfdc2,Clstn3,Zswim5,Arhgap20os,Tmem199
